,soil_type,Seedling Stage,MOI,temp,humidity,result
0,Black Soil,Germination,1,25,80.0,1
1,Black Soil,Germination,2,26,77.0,1
2,Black Soil,Germination,3,27,74.0,1
3,Black Soil,Germination,4,28,71.0,1
4,Black Soil,Germination,5,29,68.0,1
5,Black Soil,Germination,6,30,65.0,1
6,Black Soil,Germination,7,31,62.0,1
7,Black Soil,Germination,8,32,59.0,1
8,Black Soil,Germination,9,33,56.0,1
9,Black Soil,Germination,10,34,53.0,1
10,Black Soil,Germination,11,35,50.0,1
11,Black Soil,Germination,12,36,47.0,1
12,Black Soil,Germination,13,37,44.0,1
13,Black Soil,Germination,14,38,41.0,1
14,Black Soil,Germination,15,39,38.0,1
15,Black Soil,Germination,16,40,35.0,1
16,Black Soil,Germination,17,41,32.0,1
17,Black Soil,Germination,18,42,29.0,1
18,Black Soil,Germination,19,43,26.0,1
19,Black Soil,Germination,20,44,23.0,1
20,Black Soil,Germination,21,45,20.0,1
21,Black Soil,Germination,22,46,17.0,1
22,Black Soil,Germination,23,25,80.0,1
23,Black Soil,Germination,24,26,77.5,1
24,Black Soil,Germination,25,27,75.0,1
25,Black Soil,Germination,26,28,72.5,1
26,Black Soil,Germination,27,29,70.0,1
27,Black Soil,Germination,28,30,67.5,1
28,Black Soil,Germination,29,31,65.0,1
29,Black Soil,Germination,30,32,62.5,1
40,Black Soil,Germination,41,43,35.0,0
41,Black Soil,Germination,42,44,32.5,0
42,Black Soil,Germination,43,45,30.0,0
43,Black Soil,Germination,44,46,27.5,0
44,Black Soil,Germination,45,25,80.0,0
45,Black Soil,Germination,46,26,77.3,0
46,Black Soil,Germination,47,27,74.6,0
47,Black Soil,Germination,48,28,71.9,0
48,Black Soil,Germination,49,29,69.2,0
49,Black Soil,Germination,50,30,66.5,0
50,Black Soil,Germination,51,31,63.8,0
51,Black Soil,Germination,52,32,61.1,0
52,Black Soil,Germination,53,33,58.4,0
53,Black Soil,Germination,54,34,55.7,0
54,Black Soil,Germination,55,35,53.0,0
55,Black Soil,Germination,56,36,50.3,0
56,Black Soil,Germination,57,37,47.6,0
57,Black Soil,Germination,58,38,44.9,0
58,Black Soil,Germination,59,39,42.2,0
59,Black Soil,Germination,60,40,39.5,0
60,Black Soil,Germination,61,41,36.8,0
61,Black Soil,Germination,62,42,34.1,0
62,Black Soil,Germination,63,43,31.4,0
63,Black Soil,Germination,64,44,28.7,0
64,Black Soil,Germination,65,45,26.0,0
65,Black Soil,Germination,66,46,23.3,0
66,Black Soil,Germination,67,25,80.0,0
67,Black Soil,Germination,68,26,78.0,0
68,Black Soil,Germination,69,27,76.0,0
69,Black Soil,Germination,70,28,74.0,0
